country,geo,year,month,keyword,trend_score,date
China,CN,2024,3,Tesla,46.4,2024-03-01
China,CN,2024,3,electric car,2,2024-03-01
China,CN,2024,3,electric vehicle,26.6,2024-03-01
China,CN,2024,4,BYD,21.75,2024-04-01
China,CN,2024,4,EV charging,12.75,2024-04-01
China,CN,2024,4,Tesla,55.5,2024-04-01
China,CN,2024,4,electric car,4.75,2024-04-01
China,CN,2024,4,electric vehicle,0,2024-04-01
China,CN,2024,5,BYD,23.25,2024-05-01
China,CN,2024,5,EV charging,0,2024-05-01
China,CN,2024,5,Tesla,41.75,2024-05-01
China,CN,2024,5,electric car,3.25,2024-05-01
China,CN,2024,5,electric vehicle,29.5,2024-05-01
China,CN,2024,6,BYD,21.6,2024-06-01
China,CN,2024,6,EV charging,0,2024-06-01
China,CN,2024,6,Tesla,45.4,2024-06-01
China,CN,2024,6,electric car,2.6,2024-06-01
China,CN,2024,6,electric vehicle,34.2,2024-06-01
China,CN,2024,7,BYD,20.25,2024-07-01
China,CN,2024,7,EV charging,0,2024-07-01
China,CN,2024,7,Tesla,45,2024-07-01
China,CN,2024,7,electric car,1.25,2024-07-01
China,CN,2024,7,electric vehicle,36.75,2024-07-01
China,CN,2024,8,BYD,19.25,2024-08-01
China,CN,2024,8,EV charging,0,2024-08-01
China,CN,2024,8,Tesla,42.5,2024-08-01
China,CN,2024,8,electric car,1.25,2024-08-01
China,CN,2024,8,electric vehicle,0,2024-08-01
China,CN,2024,9,BYD,23.6,2024-09-01
China,CN,2024,9,EV charging,0,2024-09-01
China,CN,2024,9,Tesla,40.2,2024-09-01
China,CN,2024,9,electric car,2.4,2024-09-01
China,CN,2024,9,electric vehicle,0,2024-09-01
China,CN,2024,10,BYD,26.25,2024-10-01
China,CN,2024,10,EV charging,14,2024-10-01
China,CN,2024,10,Tesla,66,2024-10-01
China,CN,2024,10,electric car,0,2024-10-01
China,CN,2024,10,electric vehicle,32.25,2024-10-01
China,CN,2024,11,BYD,21.5,2024-11-01
China,CN,2024,11,EV charging,0,2024-11-01
China,CN,2024,11,Tesla,62.75,2024-11-01
China,CN,2024,11,electric car,2.25,2024-11-01
China,CN,2024,11,electric vehicle,0,2024-11-01
China,CN,2024,12,BYD,25.8,2024-12-01
China,CN,2024,12,EV charging,0,2024-12-01
China,CN,2024,12,Tesla,55,2024-12-01
China,CN,2024,12,electric car,1,2024-12-01
China,CN,2024,12,electric vehicle,30.2,2024-12-01
France,FR,2018,12,BYD,0,2018-12-01
France,FR,2018,12,EV charging,0,2018-12-01
France,FR,2018,12,Tesla,35,2018-12-01
France,FR,2018,12,electric car,1,2018-12-01
France,FR,2018,12,electric vehicle,0,2018-12-01
France,FR,2019,1,BYD,0,2019-01-01
France,FR,2019,1,EV charging,0,2019-01-01
France,FR,2019,1,Tesla,29.75,2019-01-01
France,FR,2019,1,electric car,0.75,2019-01-01
France,FR,2019,1,electric vehicle,15.5,2019-01-01
France,FR,2019,2,BYD,0,2019-02-01
France,FR,2019,2,EV charging,0,2019-02-01
France,FR,2019,2,Tesla,33.75,2019-02-01
France,FR,2019,2,electric car,0.5,2019-02-01
France,FR,2019,2,electric vehicle,24,2019-02-01
France,FR,2019,3,BYD,0,2019-03-01
France,FR,2019,3,EV charging,0,2019-03-01
France,FR,2019,3,Tesla,38,2019-03-01
France,FR,2019,3,electric car,0.4,2019-03-01
France,FR,2019,3,electric vehicle,20,2019-03-01
France,FR,2019,4,BYD,0,2019-04-01
France,FR,2019,4,EV charging,0,2019-04-01
France,FR,2019,4,Tesla,42,2019-04-01
France,FR,2019,4,electric car,1,2019-04-01
France,FR,2019,4,electric vehicle,19,2019-04-01
France,FR,2019,5,BYD,0,2019-05-01
France,FR,2019,5,EV charging,0,2019-05-01
France,FR,2019,5,Tesla,39.5,2019-05-01
France,FR,2019,5,electric car,1,2019-05-01
France,FR,2019,5,electric vehicle,21.5,2019-05-01
France,FR,2019,6,BYD,0,2019-06-01
France,FR,2019,6,EV charging,14.6,2019-06-01
France,FR,2019,6,Tesla,39,2019-06-01
France,FR,2019,6,electric car,1,2019-06-01
France,FR,2019,6,electric vehicle,29,2019-06-01
France,FR,2019,7,BYD,0,2019-07-01
France,FR,2019,7,EV charging,0,2019-07-01
France,FR,2019,7,Tesla,42.5,2019-07-01
France,FR,2019,7,electric car,1,2019-07-01
France,FR,2019,7,electric vehicle,17.5,2019-07-01
France,FR,2019,8,BYD,0,2019-08-01
France,FR,2019,8,EV charging,0,2019-08-01
France,FR,2019,8,Tesla,40.25,2019-08-01
France,FR,2019,8,electric car,1,2019-08-01
France,FR,2019,8,electric vehicle,71.75,2019-08-01
France,FR,2019,9,BYD,0,2019-09-01
France,FR,2019,9,EV charging,0,2019-09-01
France,FR,2019,9,Tesla,44,2019-09-01
France,FR,2019,9,electric car,1,2019-09-01
France,FR,2019,9,electric vehicle,27.2,2019-09-01
France,FR,2019,10,BYD,0,2019-10-01
France,FR,2019,10,EV charging,0,2019-10-01
France,FR,2019,10,Tesla,45,2019-10-01
France,FR,2019,10,electric car,1,2019-10-01
France,FR,2019,10,electric vehicle,14.5,2019-10-01
France,FR,2019,11,BYD,0,2019-11-01
France,FR,2019,11,EV charging,0,2019-11-01
France,FR,2019,11,Tesla,66.25,2019-11-01
France,FR,2019,11,electric car,1,2019-11-01
France,FR,2019,11,electric vehicle,56.25,2019-11-01
France,FR,2019,12,BYD,0,2019-12-01
France,FR,2019,12,EV charging,0,2019-12-01
France,FR,2019,12,Tesla,60,2019-12-01
France,FR,2019,12,electric car,1,2019-12-01
France,FR,2019,12,electric vehicle,21.83,2019-12-01
France,FR,2020,1,BYD,0,2020-01-01
France,FR,2020,1,EV charging,0,2020-01-01
France,FR,2020,1,Tesla,65,2020-01-01
France,FR,2020,1,electric car,1,2020-01-01
France,FR,2020,1,electric vehicle,43.75,2020-01-01
France,FR,2020,2,BYD,0,2020-02-01
France,FR,2020,2,EV charging,0,2020-02-01
France,FR,2020,2,Tesla,65.5,2020-02-01
France,FR,2020,2,electric car,1,2020-02-01
France,FR,2020,2,electric vehicle,52.75,2020-02-01
France,FR,2020,3,BYD,0,2020-03-01
France,FR,2020,3,EV charging,0,2020-03-01
France,FR,2020,3,Tesla,45,2020-03-01
France,FR,2020,3,electric car,0.4,2020-03-01
France,FR,2020,3,electric vehicle,33,2020-03-01
France,FR,2020,4,BYD,0,2020-04-01
France,FR,2020,4,EV charging,0,2020-04-01
France,FR,2020,4,Tesla,37.5,2020-04-01
France,FR,2020,4,electric car,0.25,2020-04-01
France,FR,2020,4,electric vehicle,21,2020-04-01
France,FR,2020,5,BYD,0.6,2020-05-01
France,FR,2020,5,EV charging,0,2020-05-01
France,FR,2020,5,Tesla,49.2,2020-05-01
France,FR,2020,5,electric car,0.8,2020-05-01
France,FR,2020,5,electric vehicle,48.4,2020-05-01
France,FR,2020,6,BYD,0.75,2020-06-01
France,FR,2020,6,EV charging,12.5,2020-06-01
France,FR,2020,6,Tesla,63.75,2020-06-01
France,FR,2020,6,electric car,1,2020-06-01
France,FR,2020,6,electric vehicle,17.75,2020-06-01
France,FR,2020,7,BYD,0.75,2020-07-01
France,FR,2020,7,EV charging,0,2020-07-01
France,FR,2020,7,Tesla,79,2020-07-01
France,FR,2020,7,electric car,1,2020-07-01
France,FR,2020,7,electric vehicle,0,2020-07-01
France,FR,2020,8,BYD,0.8,2020-08-01
France,FR,2020,8,EV charging,0,2020-08-01
France,FR,2020,8,Tesla,84.6,2020-08-01
France,FR,2020,8,electric car,1,2020-08-01
France,FR,2020,8,electric vehicle,18,2020-08-01
France,FR,2020,9,BYD,1,2020-09-01
France,FR,2020,9,EV charging,0,2020-09-01
France,FR,2020,9,Tesla,81.75,2020-09-01
France,FR,2020,9,electric car,1,2020-09-01
France,FR,2020,9,electric vehicle,14,2020-09-01
France,FR,2020,10,BYD,0.5,2020-10-01
France,FR,2020,10,EV charging,0,2020-10-01
France,FR,2020,10,Tesla,66,2020-10-01
France,FR,2020,10,electric car,0.75,2020-10-01
France,FR,2020,10,electric vehicle,14.5,2020-10-01
France,FR,2020,11,BYD,0.8,2020-11-01
France,FR,2020,11,EV charging,0,2020-11-01
France,FR,2020,11,Tesla,48.6,2020-11-01
France,FR,2020,11,electric car,0.8,2020-11-01
France,FR,2020,11,electric vehicle,64.6,2020-11-01
France,FR,2020,12,BYD,0.4,2020-12-01
France,FR,2020,12,EV charging,0,2020-12-01
France,FR,2020,12,Tesla,52.4,2020-12-01
France,FR,2020,12,electric car,0.6,2020-12-01
France,FR,2020,12,electric vehicle,25.8,2020-12-01
France,FR,2021,1,BYD,0,2021-01-01
France,FR,2021,1,EV charging,0,2021-01-01
France,FR,2021,1,Tesla,56.4,2021-01-01
France,FR,2021,1,electric car,0.2,2021-01-01
France,FR,2021,1,electric vehicle,16.4,2021-01-01
France,FR,2021,2,BYD,0,2021-02-01
France,FR,2021,2,EV charging,0,2021-02-01
France,FR,2021,2,Tesla,53.75,2021-02-01
France,FR,2021,2,electric car,0.5,2021-02-01
France,FR,2021,2,electric vehicle,12.5,2021-02-01
France,FR,2021,3,BYD,0,2021-03-01
France,FR,2021,3,EV charging,0,2021-03-01
France,FR,2021,3,Tesla,50.5,2021-03-01
France,FR,2021,3,electric car,0,2021-03-01
France,FR,2021,3,electric vehicle,26.25,2021-03-01
France,FR,2021,4,BYD,0,2021-04-01
France,FR,2021,4,EV charging,11,2021-04-01
France,FR,2021,4,Tesla,49.5,2021-04-01
France,FR,2021,4,electric car,0,2021-04-01
France,FR,2021,4,electric vehicle,0,2021-04-01
France,FR,2021,5,BYD,0,2021-05-01
France,FR,2021,5,EV charging,0,2021-05-01
France,FR,2021,5,Tesla,45.8,2021-05-01
France,FR,2021,5,electric car,0.4,2021-05-01
France,FR,2021,5,electric vehicle,17.2,2021-05-01
France,FR,2021,6,BYD,0,2021-06-01
France,FR,2021,6,EV charging,0,2021-06-01
France,FR,2021,6,Tesla,42.75,2021-06-01
France,FR,2021,6,electric car,0.25,2021-06-01
France,FR,2021,6,electric vehicle,14.75,2021-06-01
France,FR,2021,7,BYD,0,2021-07-01
France,FR,2021,7,EV charging,0,2021-07-01
France,FR,2021,7,Tesla,50,2021-07-01
France,FR,2021,7,electric car,0.25,2021-07-01
France,FR,2021,7,electric vehicle,11.75,2021-07-01
France,FR,2021,8,BYD,0,2021-08-01
France,FR,2021,8,EV charging,0,2021-08-01
France,FR,2021,8,Tesla,56.4,2021-08-01
France,FR,2021,8,electric car,0.4,2021-08-01
France,FR,2021,8,electric vehicle,9.6,2021-08-01
France,FR,2021,9,BYD,0,2021-09-01
France,FR,2021,9,EV charging,13,2021-09-01
France,FR,2021,9,Tesla,50.75,2021-09-01
France,FR,2021,9,electric car,0.75,2021-09-01
France,FR,2021,9,electric vehicle,35.25,2021-09-01
France,FR,2021,10,BYD,0,2021-10-01
France,FR,2021,10,EV charging,9,2021-10-01
France,FR,2021,10,Tesla,69.8,2021-10-01
France,FR,2021,10,electric car,1,2021-10-01
France,FR,2021,10,electric vehicle,23.8,2021-10-01
France,FR,2021,11,BYD,0,2021-11-01
France,FR,2021,11,EV charging,0,2021-11-01
France,FR,2021,11,Tesla,59.75,2021-11-01
France,FR,2021,11,electric car,0.5,2021-11-01
France,FR,2021,11,electric vehicle,39.75,2021-11-01
France,FR,2021,12,BYD,0,2021-12-01
France,FR,2021,12,EV charging,10.2,2021-12-01
France,FR,2021,12,Tesla,71.8,2021-12-01
France,FR,2021,12,electric car,0.2,2021-12-01
France,FR,2021,12,electric vehicle,0,2021-12-01
France,FR,2022,1,BYD,0.4,2022-01-01
France,FR,2022,1,EV charging,27.6,2022-01-01
France,FR,2022,1,Tesla,80.8,2022-01-01
France,FR,2022,1,electric car,1,2022-01-01
France,FR,2022,1,electric vehicle,26.4,2022-01-01
France,FR,2022,2,BYD,0,2022-02-01
France,FR,2022,2,EV charging,31.25,2022-02-01
France,FR,2022,2,Tesla,76,2022-02-01
France,FR,2022,2,electric car,1,2022-02-01
France,FR,2022,2,electric vehicle,49.5,2022-02-01
France,FR,2022,3,BYD,0.25,2022-03-01
France,FR,2022,3,EV charging,39.25,2022-03-01
France,FR,2022,3,Tesla,89,2022-03-01
France,FR,2022,3,electric car,1,2022-03-01
France,FR,2022,3,electric vehicle,78.5,2022-03-01
France,FR,2022,4,BYD,0.25,2022-04-01
France,FR,2022,4,EV charging,38,2022-04-01
France,FR,2022,4,Tesla,77,2022-04-01
France,FR,2022,4,electric car,1,2022-04-01
France,FR,2022,4,electric vehicle,74.25,2022-04-01
France,FR,2022,5,BYD,0.4,2022-05-01
France,FR,2022,5,EV charging,28.8,2022-05-01
France,FR,2022,5,Tesla,67,2022-05-01
France,FR,2022,5,electric car,1,2022-05-01
France,FR,2022,5,electric vehicle,67.4,2022-05-01
France,FR,2022,6,BYD,0.5,2022-06-01
France,FR,2022,6,EV charging,32.5,2022-06-01
France,FR,2022,6,Tesla,66.75,2022-06-01
France,FR,2022,6,electric car,1,2022-06-01
France,FR,2022,6,electric vehicle,51.25,2022-06-01
France,FR,2022,7,BYD,1,2022-07-01
France,FR,2022,7,EV charging,35.6,2022-07-01
France,FR,2022,7,Tesla,64.4,2022-07-01
France,FR,2022,7,electric car,1,2022-07-01
France,FR,2022,7,electric vehicle,27.8,2022-07-01
France,FR,2022,8,BYD,1.25,2022-08-01
France,FR,2022,8,EV charging,65.75,2022-08-01
France,FR,2022,8,Tesla,66.25,2022-08-01
France,FR,2022,8,electric car,1,2022-08-01
France,FR,2022,8,electric vehicle,31,2022-08-01
France,FR,2022,9,BYD,1,2022-09-01
France,FR,2022,9,EV charging,18.25,2022-09-01
France,FR,2022,9,Tesla,58,2022-09-01
France,FR,2022,9,electric car,1,2022-09-01
France,FR,2022,9,electric vehicle,35.5,2022-09-01
France,FR,2022,10,BYD,2.4,2022-10-01
France,FR,2022,10,EV charging,35.4,2022-10-01
France,FR,2022,10,Tesla,64,2022-10-01
France,FR,2022,10,electric car,1,2022-10-01
France,FR,2022,10,electric vehicle,41.6,2022-10-01
France,FR,2022,11,BYD,1,2022-11-01
France,FR,2022,11,EV charging,42.5,2022-11-01
France,FR,2022,11,Tesla,58,2022-11-01
France,FR,2022,11,electric car,1,2022-11-01
France,FR,2022,11,electric vehicle,59.25,2022-11-01
France,FR,2022,12,BYD,1,2022-12-01
France,FR,2022,12,EV charging,54.25,2022-12-01
France,FR,2022,12,Tesla,64.5,2022-12-01
France,FR,2022,12,electric car,1,2022-12-01
France,FR,2022,12,electric vehicle,12,2022-12-01
France,FR,2023,1,BYD,1.4,2023-01-01
